trial,latency_ms
0,2.542833999996219
1,0.8239530002356332
2,0.7680489998165285
3,0.7582470002489572
4,0.64828899985514
5,0.7289780000974133
6,0.7257380002556602
7,0.699721000273712
8,0.6103330001678842
9,0.6663690001005307
10,0.6644560003223887
11,0.6556859998454456
12,0.6917149999026151
13,0.6387940002241521
14,0.6069310002203565
15,0.6873620000078517
16,0.676400999964244
17,0.6669230001534743
18,0.6952489998184319
19,0.6320279999272316
20,0.6461879997914366
21,0.7250880003084603
22,0.7348750000346627
23,0.6772629999431956
24,0.7265489998644625
25,0.7503839997298201
26,0.6774290000066685
27,0.6491609997283376
28,0.6624870002269745
29,0.8072740001807688
30,0.7097050001902971
31,0.7303309998860641
32,0.6429569998545048
33,0.6528929998239619
34,0.7738159997643379
35,0.7169239997892873
36,0.6231990000742371
37,0.6187189997035603
38,0.6817180001235101
39,0.6692370002383541
40,0.6453519999922719
41,0.6711269998049829
42,0.6141959997876256
43,0.6699519999529002
44,0.6965210000089428
45,0.6090540000514011
46,0.6977189996177913
47,0.6948939999347203
48,0.6626360000154818
49,0.693429999955697
50,0.6869629996799631
51,0.6945420000192826
52,0.6622989999414131
53,0.6743320000168751
54,0.6623620001846575
55,0.6578990000889462
56,0.6799309999223624
57,0.6621269999413926
58,0.6977610000831191
59,0.7045339998512645
60,0.6284850001065934
61,0.6549069998982304
62,0.7047079998301342
63,0.6953739998607489
64,0.6451419999393693
65,0.6808100001762796
66,0.6294380000326782
67,0.6036259997017623
68,0.6342850001601619
69,0.6134049999673152
70,0.6135630001153913
71,0.6306209998001577
72,0.5970469997009786
73,0.6310730000222975
74,0.6193640001583844
75,0.6524909999825468
76,0.6821220003985218
77,0.6606839997402858
78,0.6585799997083086
79,0.6314620000011928
80,0.672865000069578
81,0.658438999835198
82,0.6862049999654118
83,0.6122270001469587
84,0.6555899999511894
85,0.7163180002862646
86,0.6132379999144177
87,0.649176000024454
88,0.7288649999281915
89,0.7414469996547268
90,0.6579979999514762
91,0.7173279996095516
92,0.6783889998587256
93,0.6704500001433189
94,0.6679339999209333
95,0.7527200000367884
96,0.633900000138965
97,0.6339380001918471
98,0.6350679996103281
99,0.5975760000183072
100,0.6253349997678015
101,0.6926169999132981
102,0.6720009996570298
103,0.7131170000320708
104,0.6731889998263796
105,0.6529450001835357
106,0.6327240002974577
107,0.6693290001749119
108,0.6450099999710801
109,0.6411270001080993
110,0.699178000104439
