Step,Traffic_Rate,Latency_us,Inference_Latency_us,Is_Merged,Energy_Efficiency,Reward
0,1193.333301712356,59766.6650856178,0.7290000070270253,0,91.79486936248892,-0.01792999952568534
1,1177.8456500878015,58992.28250439008,0.5069999957640903,0,90.6035115452155,-0.017697684751317024
2,1008.3861394573174,50519.30697286588,0.2630000039971492,0,77.5681645736398,-0.015155792091859762
3,1343.900720058612,67295.0360029306,0.18000000068241206,0,103.37697846604708,-0.02018851080087918
4,1105.4577140913862,55372.885704569315,0.1590000096030053,0,85.03520877626048,-0.016611865711370796
5,971.9476148146745,48697.38074073373,0.16199999208765803,0,74.76520113959035,-0.014609214222220118
6,1239.0244965400052,62051.22482700027,0.1390000079481979,0,95.30957665692348,-0.01861536744810008
7,1034.546965778845,51827.34828894226,0.13999999737279722,0,79.58053582914194,-0.015548204486682678
8,2055.4051026596426,102870.25513298213,0.14000001158365194,0,158.1080848199725,-0.030861076539894637
9,2192.3689874609736,109718.44937304869,0.14000001158365194,0,168.64376826622873,-0.0329155348119146
10,1835.4469076805908,91872.34538402956,0.13800000431274384,0,141.18822366773776,-0.027561703615208866
11,1071.5580605482562,53677.903027412816,0.14000001158365194,0,82.42754311909663,-0.016103370908223842
12,1011.1251893753507,50656.25946876754,0.14000001158365194,0,77.77886072118082,-0.01519687784063026
13,1944.8527093459488,97342.63546729744,0.13600001125269046,0,149.604054565073,-0.029202790640189234
14,1107.2699079553543,55463.495397767714,0.1330000003463283,0,85.17460830425802,-0.016639048619330313
15,2465.752892919628,123387.6446459814,0.1390000079481979,0,189.673299455356,-0.03701629339379442
16,2339.0225252826813,117051.12626413407,0.13799999010188913,0,179.92480963712933,-0.03511533787924022
17,1553.5996761233512,77779.98380616755,0.13799999010188913,0,119.50766739410393,-0.023333995141850267
18,1056.8553969995623,52942.769849978125,0.13899999373734317,0,81.29656899996634,-0.015882830954993436
19,1111.3619285412203,55668.09642706102,0.13599999704183574,0,85.4893791185554,-0.016700428928118304
20,1580.1614000425352,79108.07000212677,0.1370000006772898,0,121.55087692634886,-0.02373242100063803
21,1030.3470588171992,51617.352940859964,0.13800000431274384,0,79.25746606286148,-0.015485205882257989
22,962.5581871767286,48227.909358836434,0.1370000006772898,0,74.04293747513296,-0.014468372807650929
23,1182.3578146993311,59217.89073496656,0.13599999704183574,0,90.95060113071779,-0.017765367220489967
24,2036.8603732649995,101943.01866324998,0.1350000076172364,0,156.68156717423074,-0.03058290559897499
25,1284.077332100182,64303.86660500911,0.13599999704183574,0,98.77517939232169,-0.019291159981502732
26,1161.8213700825113,58191.06850412557,0.12099999935344385,0,89.37087462173164,-0.017457320551237672
27,1047.8694202185911,52493.47101092956,0.13699998646643508,0,80.60534001681471,-0.015748041303278868
28,1251.4685352139359,62673.4267606968,0.1370000006772898,0,96.266810401072,-0.01880202802820904
29,3688.6078724164695,100.0,1.2139999938654,1,307.3839893680391,-0.008040000000000002
30,1018.1138117807016,100.0,0.16299999572311208,1,84.8428176483918,-3e-05
31,1209.6841801977912,100.0,0.1370000006772898,1,100.8070150164826,-3e-05
32,1641.5390866825328,100.0,0.14500000133921276,1,136.79492389021107,-3e-05
33,1340.0151852549245,100.0,0.1349999934063817,1,111.66793210457705,-3e-05
34,1328.124235158894,100.0,0.1370000006772898,1,110.6770195965745,-3e-05
35,1357.018498179952,100.0,0.13999999737279722,1,113.08487484832933,-3e-05
36,1054.5303248161563,100.0,0.13799999010188913,1,87.87752706801302,-3e-05
37,1099.576318684484,100.0,0.13400000398178236,1,91.63135989037367,-3e-05
38,1496.2540081857976,100.0,0.13799999010188913,1,124.68783401548313,-3e-05
39,1473.7896562986468,100.0,0.13199999671087426,1,122.81580469155391,-3e-05
40,1603.7889291807019,100.0,0.1330000003463283,1,133.64907743172515,-3e-05
41,1879.3621014059433,100.0,0.16399999935856613,1,156.6135084504953,-3e-05
42,1157.8373311571715,100.0,0.13399998977092764,1,96.48644426309762,-3e-05
43,1133.5559635504683,100.0,0.13599999704183574,1,94.46299696253902,-3e-05
44,1428.6008138062862,100.0,0.20299999903272692,1,119.05006781719051,-3e-05
45,1319.8952711694442,100.0,0.13400000398178236,1,109.99127259745369,-3e-05
46,1323.454533636484,100.0,0.13400000398178236,1,110.28787780304033,-3e-05
47,1474.933660143039,100.0,0.13599999704183574,1,122.91113834525326,-3e-05
48,1754.986263838475,100.0,0.13599999704183574,1,146.24885531987292,-3e-05
49,1120.6924095901388,100.0,0.1370000006772898,1,93.39103413251156,-3e-05
50,1086.642909650124,100.0,0.13799999010188913,1,90.553575804177,-3e-05
51,993.1340225795013,100.0,0.15099999473022763,1,82.76116854829178,-3e-05
52,1238.253126296923,100.0,0.15199999836568168,1,103.18776052474358,-3e-05
53,999.3746777903262,100.0,0.17799999341150397,1,83.28122314919385,-3e-05
54,1099.4255134627706,100.0,0.14200000464370532,1,91.61879278856422,-3e-05
55,1249.704586122717,100.0,0.13800000431274384,1,104.14204884355975,-3e-05
56,1074.2983020645026,100.0,0.13799999010188913,1,89.52485850537522,-3e-05
57,1201.8416934951845,100.0,0.13899999373734317,1,100.15347445793203,-3e-05
58,1091.2335495935597,100.0,0.13999999737279722,1,90.93612913279664,-3e-05
59,1007.6709482988131,100.0,0.14100000100825127,1,83.9725790249011,-3e-05
60,1478.5943560994472,100.0,0.1419999904328506,1,123.2161963416206,-3e-05
61,1107.7915461248858,100.0,0.13800000431274384,1,92.31596217707381,-3e-05
62,957.9300083314849,100.0,0.13899999373734317,1,79.8275006942904,-3e-05
